Date,Price,Number,ROI,change
Sep 27 2015 01,0.052,124,-0.0714285714285715,-0.0040000000000000036
Sep 28 2015 01,0.053,125,0.01923076923076925,0.0010000000000000009
Sep 29 2015 01,0.054,126,0.018867924528301903,0.0010000000000000009
Sep 30 2015 01,0.057,127,0.05555555555555561,0.0030000000000000027
Oct 01 2015 01,0.056,128,-0.017543859649122823,-0.0010000000000000009
Oct 02 2015 01,0.053,129,-0.05357142857142862,-0.0030000000000000027
Oct 03 2015 01,0.051,130,-0.03773584905660381,-0.0020000000000000018
Oct 04 2015 01,0.047,131,-0.07843137254901955,-0.003999999999999997
Oct 05 2015 01,0.047,132,0.0,0.0
Oct 06 2015 01,0.052,133,0.1063829787234042,0.0049999999999999975
Oct 07 2015 01,0.056,134,0.076923076923077,0.0040000000000000036
Oct 08 2015 01,0.052,135,-0.0714285714285715,-0.0040000000000000036
Oct 09 2015 01,0.055,136,0.057692307692307744,0.0030000000000000027
Oct 10 2015 01,0.053,137,-0.0363636363636364,-0.0020000000000000018
Oct 11 2015 01,0.049,138,-0.07547169811320749,-0.003999999999999997
Oct 12 2015 01,0.047,139,-0.040816326530612276,-0.0020000000000000018
Oct 13 2015 01,0.047,140,0.0,0.0
Oct 14 2015 01,0.045,141,-0.04255319148936174,-0.0020000000000000018
Oct 15 2015 01,0.042,142,-0.06666666666666657,-0.0029999999999999957
Oct 16 2015 01,0.043,143,0.023809523809523662,0.000999999999999994
Oct 17 2015 01,0.043,144,0.0,0.0
Oct 18 2015 01,0.041,145,-0.046511627906976626,-0.001999999999999995
Oct 19 2015 01,0.04,146,-0.024390243902439046,-0.0010000000000000009
Oct 20 2015 01,0.041,147,0.025000000000000022,0.0010000000000000009
Oct 21 2015 01,0.039,148,-0.04878048780487809,-0.0020000000000000018
Oct 22 2015 01,0.039,149,0.0,0.0
Oct 23 2015 01,0.039,150,0.0,0.0
Oct 24 2015 01,0.037,151,-0.05128205128205133,-0.0020000000000000018
Oct 25 2015 01,0.035,152,-0.05405405405405392,-0.001999999999999995
Oct 26 2015 01,0.034,153,-0.028571428571428595,-0.0010000000000000009
Oct 27 2015 01,0.034,154,0.0,0.0
Oct 28 2015 01,0.035,155,0.029411764705882377,0.0010000000000000009
Oct 29 2015 01,0.034,156,-0.028571428571428595,-0.0010000000000000009
Oct 30 2015 01,0.035,157,0.029411764705882377,0.0010000000000000009
Oct 31 2015 01,0.031,158,-0.11428571428571438,-0.0040000000000000036
Nov 01 2015 01,0.03,159,-0.03225806451612906,-0.0010000000000000009
Nov 02 2015 01,0.031,160,0.03333333333333337,0.0010000000000000009
Nov 03 2015 01,0.03,161,-0.03225806451612906,-0.0010000000000000009
Nov 04 2015 01,0.03,162,0.0,0.0
Nov 05 2015 01,0.03,163,0.0,0.0
Nov 06 2015 01,0.03,164,0.0,0.0
Nov 07 2015 01,0.03,165,0.0,0.0
Nov 08 2015 01,0.03,166,0.0,0.0
Nov 09 2015 01,0.03,167,0.0,0.0
Nov 10 2015 01,0.03,168,0.0,0.0
Nov 11 2015 01,0.03,169,0.0,0.0
Nov 12 2015 01,0.03,170,0.0,0.0
Nov 13 2015 01,0.03,171,0.0,0.0
Nov 14 2015 01,0.03,172,0.0,0.0
Nov 15 2015 01,0.03,173,0.0,0.0
Nov 16 2015 01,0.034,174,0.13333333333333347,0.0040000000000000036
Nov 17 2015 01,0.045,175,0.32352941176470573,0.010999999999999996
Nov 18 2015 01,0.047,176,0.04444444444444449,0.0020000000000000018
Nov 19 2015 01,0.044,177,-0.0638297872340426,-0.0030000000000000027
Nov 20 2015 01,0.04,178,-0.09090909090909084,-0.003999999999999997
Nov 21 2015 01,0.042,179,0.050000000000000044,0.0020000000000000018
Nov 22 2015 01,0.039,180,-0.0714285714285715,-0.0030000000000000027
Nov 23 2015 01,0.038,181,-0.025641025641025664,-0.0010000000000000009
Nov 24 2015 01,0.041,182,0.07894736842105271,0.0030000000000000027
